course_id,title,credit_hour,type
1616,Customer-focused clear-thinking neural-net,4,Trail
3889,Persistent 24/7 success,3,Trail
3788,Cloned incremental system engine,2,Core
9370,Focused incremental contingency,1,Core
8723,Synergized context-sensitive hardware,4,Trail
1405,Networked national Internet solution,1,Core
1982,Team-oriented motivating matrix,1,Trail
8396,Sharable coherent architecture,3,Trail
4242,Managed modular pricing structure,3,Core
6145,Customer-focused 6thgeneration Internet solution,4,Major
9486,Digitized systematic website,3,Trail
9704,Customer-focused methodical database,4,Trail
2739,Enterprise-wide homogeneous concept,4,Trail
5004,Cross-platform intangible database,2,Trail
5411,Reduced even-keeled software,1,Major
7478,Digitized attitude-oriented hub,2,Major
1864,Phased asymmetric moderator,3,Major
5919,Open-source high-level strategy,3,Trail
2983,Persistent demand-driven alliance,4,Major
2198,Self-enabling system-worthy website,1,Core
2959,Down-sized neutral open system,3,Trail
5841,Pre-emptive real-time help-desk,4,Core
4250,Implemented context-sensitive projection,4,Major
7549,Virtual encompassing monitoring,3,Major
3420,Organic uniform info-mediaries,3,Core
4008,Phased asymmetric hierarchy,3,Core
4748,Extended well-modulated projection,1,Major
3194,Persistent content-based solution,3,Trail
6067,Cloned well-modulated ability,3,Core
5717,User-centric 6thgeneration attitude,4,Core
9505,Triple-buffered optimal model,4,Major
5678,Extended dynamic Internet solution,2,Trail
7058,Open-architected homogeneous encryption,3,Trail
8788,User-centric non-volatile knowledgebase,4,Core
9898,Seamless tangible access,1,Core
1061,Phased coherent intranet,3,Core
2169,Secured 6thgeneration policy,1,Core
6953,Focused transitional migration,1,Core
2230,Cross-platform scalable extranet,3,Major
6895,Customizable needs-based product,3,Major
3961,Devolved analyzing website,2,Core
3315,Decentralized mission-critical open architecture,2,Major
8768,Compatible bi-directional firmware,4,Trail
9453,Ameliorated grid-enabled strategy,3,Trail
1531,Inverse mobile Local Area Network,2,Major
8152,Organic radical function,3,Trail
5081,Compatible client-driven Graphic Interface,3,Major
2924,Fundamental multi-tasking collaboration,3,Major
2508,Automated intangible encryption,4,Major
4965,Upgradable bi-directional archive,1,Major
2049,Enhanced eco-centric structure,4,Core
9374,Focused context-sensitive flexibility,2,Core
1569,Multi-channeled optimal capability,2,Major
3427,Multi-channeled responsive emulation,4,Major
