semester_id,semester_name,year
Spring 2013,Spring 2013,2013
Summer 2013,Summer 2013,2013
Fall 2013,Fall 2013,2013
Spring 2014,Spring 2014,2014
Summer 2014,Summer 2014,2014
Fall 2014,Fall 2014,2014
Spring 2015,Spring 2015,2015
Summer 2015,Summer 2015,2015
Fall 2015,Fall 2015,2015
Spring 2016,Spring 2016,2016
Summer 2016,Summer 2016,2016
Fall 2016,Fall 2016,2016
Spring 2017,Spring 2017,2017
Summer 2017,Summer 2017,2017
Fall 2017,Fall 2017,2017
Spring 2018,Spring 2018,2018
Summer 2018,Summer 2018,2018
Fall 2018,Fall 2018,2018
Spring 2019,Spring 2019,2019
Summer 2019,Summer 2019,2019
Fall 2019,Fall 2019,2019
Spring 2020,Spring 2020,2020
Summer 2020,Summer 2020,2020
Fall 2020,Fall 2020,2020
Spring 2021,Spring 2021,2021
Summer 2021,Summer 2021,2021
Fall 2021,Fall 2021,2021
Spring 2022,Spring 2022,2022
Summer 2022,Summer 2022,2022
Fall 2022,Fall 2022,2022
Spring 2023,Spring 2023,2023
Summer 2023,Summer 2023,2023
Fall 2023,Fall 2023,2023
